"","TI","SO","LeadAuthorFirst","LeadAuthorLast","LeadInitOnly","first.gender.manual","first.gender","first.gender.manual.method","EditorFirst","EditorLast","editor.gender.manual","FirstInst2","Editor.Institution"
"137","Microhabitat and body size effects on heat tolerance: implications for responses to climate change (army ants: Formicidae, Ecitoninae)","JOURNAL OF ANIMAL ECOLOGY","Kaitlin","wilkes","no","female","female","","Jonathan","Newman","male","Drexel University","University of Guelph"
"138","The adaptation of generalist predators' diet in a multi-prey context: insights from new functional responses","ECOLOGY","Virgile","zhou","no",NA,NA,"","Sebastian","Schreiber","male","University of Bourgogne","University of California Davis"
"139","Development and assessment of a new dermal attachment for short-term tagging studies of baleen whales","METHODS IN ECOLOGY AND EVOLUTION","Mark","anstett","no","male","male","","Carolyn","Kurle","female","Woods Hole Oceanographic Institute","University of California San Diego"
"140","Roles of pathogens on replacement of tree seedlings in heterogeneous light environments in a temperate forest: a reciprocal seed sowing experiment","JOURNAL OF ECOLOGY",NA,"pashalidou","no",NA,NA,"","Alison","Power","female","Tohoku University","Cornell University"
"141","Detecting Hidden Diversification Shifts in Models of Trait-Dependent Speciation and Extinction","SYSTEMATIC BIOLOGY","Jeremy","vijendravarma","no","male","male","","Tanja","Stadler","female","University of Tennessee","ETH Zurich"
"142","Heterogeneous Rates of Molecular Evolution and Diversification Could Explain the Triassic Age Estimate for Angiosperms","SYSTEMATIC BIOLOGY","Jeremy","amarasekare","no","male","male","","Mark","Fishbein","male","University of Tennessee","Oklahoma State University"
"143","Linking anthropogenic resources to wildlife-pathogen dynamics: a review and meta-analysis","ECOLOGY LETTERS","Daniel","barwell","no","either","either","","Kevin","Lafferty","male","University of Georgia","USGS Chanel Islands Field Station"
"144","Ground ice melt in the high Arctic leads to greater ecological heterogeneity","JOURNAL OF ECOLOGY","Michael","boyce","no","male","male","","Hans","Cornelissen","male","McGill University","Vrije University"
"145","Cancer Evolution: Mathematical Models and Computational Inference","SYSTEMATIC BIOLOGY","Niko","cespedes","no","either",NA,"babynames.com","Olivier","Gascuel","male","Swiss Federal Institute of Technology","Institut Pasteur"
"146","Using the Spatial Population Abundance Dynamics Engine for conservation management","METHODS IN ECOLOGY AND EVOLUTION","Nicholas","de roissart","no","male","male","","Barbara","Anderson","female","University of Tasmania","Landcare Research, Lincoln University"
"147","Testing for Independence between Evolutionary Processes","SYSTEMATIC BIOLOGY","Abdelkader","fahimipour","no","male",NA,"http://www.babycenter.com","Michael","Charleston","male","","University of Tasmania"
"148","Topology of tree-mycorrhizal fungus interaction networks in xeric and mesic Douglas-fir forests","JOURNAL OF ECOLOGY","Kevin","flockhart","yes","male","male","","Marcel","VanDerHeijden","male","Beuth University of Applied Sciences","Agroscope Reckenholz-Tanikon Research Station"
"149","Intermediate Levels of Bacillus subtilis CodY Activity Are Required for Derepression of the Branched-Chain Amino Acid Permease, BraB","PLoS Genetics","Boris","gilroy","no","male","male","","lotte","Sogaard-Andersen","female","Tufts University","Max Planck Institute for Terrestrial Microbiology"
"150","Long-term phenological trends, species accumulation rates, aphid traits and climate: five decades of change in migrating aphids","JOURNAL OF ANIMAL ECOLOGY","James","govaert","no","male","male","","Ken","Wilson","male","Rothamsted Research","Lancaster University "
"151","Simulation-based assessment of dynamic N-mixture models in the presence of density dependence and environmental stochasticity","METHODS IN ECOLOGY AND EVOLUTION","Edwige","hart","no","female",NA,"babynamewizard.com","David","Hodgson","male","Swiss Ornithological Institute","University of Exeter"
"152","Browsing by an invasive herbivore promotes development of plant and soil communities during primary succession","JOURNAL OF ECOLOGY","Peter","kindsvater","no","male","male","","Andrew","MacDougall","male","Landcare Research","University of Guelph"
"153","Relative roles of ecological and energetic constraints, diversification rates and region history on global species richness gradients","ECOLOGY LETTERS","Jonathan","kourkgy","no","male","male","","Hector","Arita","male","Tel Aviv University","Universidad Nacional Autonoma de Mexico"
"154","Empirical evidence for the scale dependence of biotic interactions","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Jonathan","mason","no","male","male","","Allen","Hurlbert","male","Tel Aviv University","University of North Carolina Chapel Hill"
"155","Edge-mediated compositional and functional decay of tree assemblages in Amazonian forest islands after 26 years of isolation","JOURNAL OF ECOLOGY","Maira","mcnamara","no","female",NA,"babynames.com","Peter","Bellingham","male","University of East Anglia","Landcare Research, Lincoln University"
"156","Experimental parasite community ecology: intraspecific variation in a large tapeworm affects community assembly","JOURNAL OF ANIMAL ECOLOGY","Daniel","moore","no","either","either","","Alison","Dunn","female","Max Planck Institute of Evolutionary Biology","University of Leeds"
"157","Biodiversity in cities needs space: a meta-analysis of factors determining intra-urban biodiversity variation","ECOLOGY LETTERS","Joscha","newsome","no",NA,NA,"","Nick","Haddad","male","University of Trier","North Carolina State University"
"158","Central-place foraging and ecological effects of an invasive predator across multiple habitats","ECOLOGY","Cassandra","resetarits","no","female","female","","Mark","Carr","male","Oregon State University","University of California Santa Cruz"
"159","Plant and insect microbial symbionts alter the outcome of plant-herbivore-parasitoid interactions: implications for invaded, agricultural and natural systems","JOURNAL OF ECOLOGY","Alison","rubin","no","female","female","","Amy","Austin","female","James Hutton Institute","University of Buenos Aires"
"160","Fungal effects on plant-plant interactions contribute to grassland plant abundances: evidence from the field","JOURNAL OF ECOLOGY","Jonathan","rutschmann","no","male","male","","Marcel","VanDerHeijden","male","University of Alberta","Agroscope Reckenholz-Tanikon Research Station"
"161","The reciprocal relationship between competition and intraspecific trait variation","JOURNAL OF ECOLOGY","Jonathan","salguero-gomez","no","male","male","","Marina","Semchenko","female","University of Tartu","University of Tartu"
"162","Contrasting beta diversity among regions: how do classical and multivariate approaches compare?","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Joseph","samani","no","male","male","","Andres","Baselga","male","Carleton University","University of Santiago de compostela"
"163","Canopy interactions and physical stress gradients in subtidal communities","ECOLOGY LETTERS","Scott","scranton","no","male","male","","Boris","Worm","male","University of Western Australia","Dalhousie University"
"164","Tropical herbivores provide resilience to a climate-mediated phase shift on temperate reefs","ECOLOGY LETTERS","Scott","studd","no","male","male","","David","Bellwood","male","University of Western Australia","James Cook University"
"165","Ecological effects of artificial light at night on wild plants","JOURNAL OF ECOLOGY","Jonathan","van de kerk","no","male","male","","Nathan","Swenson","male","University of Exeter","Michigan State University"
"166","A Phenomic Scan of the Norfolk Island Genetic Isolate Identifies a Major Pleiotropic Effect Locus Associated with Metabolic and Renal Disorder Markers","PLOS GENETICS","Miles","wang","no","male","male","","Kathryn","Burdon","female","Queensland University of Technology","University of Tasmania"
"167","Comparative Transcriptomics of Convergent Evolution: Different Genes but Conserved Pathways Underlie Caste Phenotypes across Lineages of Eusocial Insects","MOLECULAR BIOLOGY AND EVOLUTION","Ali","woodroffe","no","either","either","","Gregory","Wray","male","Iowa State University","Duke University"
"168","Good reasons to leave home: proximate dispersal cues in a social spider","JOURNAL OF ANIMAL ECOLOGY","Reut","zimmermann","no","female",NA,"babynames.com","DeHua","Wang",NA,"Ben Gurion University of the Negev","Chinese Academy of Sciences"
"169","Alien and native plant species play different roles in plant community structure","JOURNAL OF ECOLOGY","Maud","krist","no","female","female","","Yvonne","Buckley","female","Lincoln University","Trinity College Dublin"
"170","Phylogenetic Stability, Tree Shape, and Character Compatibility: A Case Study Using Early Tetrapods","SYSTEMATIC BIOLOGY","Massimo","turner","no","male",NA,"babynames.com","Benoit","Dayrat","male","","Penn State"
"171","Protein Homeostasis Imposes a Barrier on Functional Integration of Horizontally Transferred Genes in Bacteria","PLoS Genetics","Shimon","mcbee","no","male","male","","Mark","Achtman","male","Harvard University","University of Warwick"
"172","Assignment of Homoeologs to Parental Genomes in Allopolyploids for Species Tree Inference, with an Example from Fumaria (Papaveraceae)","SYSTEMATIC BIOLOGY","Yann","rachamim","no",NA,NA,"","Mark","Fishbein","male","University of Gothenburg","Oklahoma State University"
"173","Dispersal response to climate change: scaling down to intraspecific variation","ECOLOGY LETTERS","Elvire","stapper","no","female",NA,"behindthename.com","Jean-Michel","Gaillard","male","CNRS Moulis","CNRS"
"174","Fossil-based comparative analyses reveal ancient marine ancestry erased by extinction in ray-finned fishes","ECOLOGY LETTERS","Ricardo","vervoort","no","male","male","","Helene","Morlon","female","University of Puerto Rico Rio Piedras","CNRS"
"175","Experimental evidence for the effect of habitat loss on the dynamics of migratory networks","ECOLOGY LETTERS","Gustavo","zoller","no","male","male","","Marco","Festa-Bianchet","male","University of Guelph","University of Sherbrooke"
"176","'You shall not pass!': quantifying barrier permeability and proximity avoidance by animals","JOURNAL OF ANIMAL ECOLOGY","Hawthorne","cameron","no","male",NA,"nameberry","John","Fryxell","male","University of Queensland","University of Guelph"
"177","Ontogeny of Unstable Chromosomes Generated by Telomere Error in Budding Yeast","PLOS GENETICS","Tracey","d'amen","no","either","either","","Lorraine","Symington","female","University of Arizona","Columbia University"
"178","Revisiting Darwin's naturalization conundrum: explaining invasion success of non-native trees and shrubs in southern Africa","JOURNAL OF ECOLOGY","Simeon","karger","no","male","male","","Jason","Fridley","male","University of Johannesburg","Syracuse University"
"179","Ecological and evolutionary variation in community nitrogen use traits during tropical dry forest secondary succession","ECOLOGY","Radika","matthews","no",NA,NA,"","Maria","Uriarte","female","Brown University","Columbia University"
"180","Functional Assessment of Disease-Associated Regulatory Variants In Vivo Using a Versatile Dual Colour Transgenesis Strategy in Zebrafish","PLOS GENETICS","Shipra","joaquin torres-romero","no",NA,NA,"","Francois","Spitz","male","University of Edinburgh","European Molecular Biology Laboratory"
"181","Regulatory Divergence among Beta-Keratin Genes during Bird Evolution","MOLECULAR BIOLOGY AND EVOLUTION","Maloyjo","baer","no",NA,NA,"","Gunter","Wagner","male","Academy Sinica","Yale University"
